name, #cases, avgTAT, avgWT, nCS
SJF,10,536.200012,385.000000,9
RR,10,935.299988,784.099976,156
DRRHA,10,714.599976,563.400024,33
SJF,50,3276.320068,3093.959961,49
RR,50,6204.680176,6022.319824,933
DRRHA,50,4437.560059,4255.200195,139
SJF,100,6930.910156,6729.470215,99
RR,100,13591.790039,13390.349609,2055
DRRHA,100,9901.629883,9700.190430,300
SJF,150,10625.740234,10422.733398,149
RR,150,20963.439453,20760.433594,3106
DRRHA,150,15610.953125,15407.946289,457
SJF,200,14065.620117,13861.820312,199
RR,200,27874.125000,27670.324219,4161
DRRHA,200,20853.500000,20649.699219,617
RR,200,27874.125000,27670.324219,4161
RR,200,27874.125000,27670.324219,4161
