name, #cases, avgTAT, avgWT, avgRT, nCS
SJF,10,536.200012,385.000000,385.000000,9
RR,10,935.299988,784.099976,32.700001,156
DRRHA,10,647.200012,496.000000,355.000000,19
MDRRHA,10,571.700012,420.500000,352.799988,15
SJF,50,3276.320068,3093.959961,3093.959961,49
RR,50,6204.680176,6022.319824,232.479996,933
DRRHA,50,3893.719971,3711.360107,2227.540039,97
MDRRHA,50,3864.280029,3681.919922,2188.899902,96
SJF,100,6930.910156,6729.470215,6729.470215,99
RR,100,13591.790039,13390.349609,485.339996,2055
DRRHA,100,8461.820312,8260.379883,5578.120117,180
MDRRHA,100,8616.860352,8415.419922,5161.080078,196
SJF,150,10625.740234,10422.733398,10422.733398,149
RR,150,20963.439453,20760.433594,739.580017,3106
DRRHA,150,13169.506836,12966.500000,8575.480469,276
MDRRHA,150,13341.886719,13138.879883,8223.093750,299
SJF,200,14065.620117,13861.820312,13861.820312,199
RR,200,27874.125000,27670.324219,989.655029,4161
DRRHA,200,17724.814453,17521.015625,9567.750000,402
MDRRHA,200,17558.314453,17354.515625,10132.080078,392
SJF,250,17592.736328,17388.236328,17388.236328,249
RR,250,34914.500000,34710.000000,1239.728027,5222
DRRHA,250,22418.232422,22213.732422,11873.259766,505
MDRRHA,250,22144.292969,21939.792969,12682.511719,498
SJF,300,20854.750000,20651.904297,20651.904297,299
RR,300,41445.503906,41242.656250,1489.846680,6220
DRRHA,300,26663.146484,26460.300781,14174.690430,613
MDRRHA,300,26177.552734,25974.707031,15234.026367,595
SJF,350,24091.253906,23888.380859,23888.380859,349
RR,350,47941.941406,47739.070312,1737.945679,7261
DRRHA,350,30847.683594,30644.808594,16145.865234,725
MDRRHA,350,30344.580078,30141.705078,17300.734375,696
SJF,400,28347.898438,28140.582031,28140.582031,399
RR,400,56443.871094,56236.550781,1987.952515,8476
DRRHA,400,36324.261719,36116.945312,18837.460938,816
MDRRHA,400,35512.136719,35304.824219,20348.607422,800
SJF,450,31486.857422,31280.980469,31280.980469,449
RR,450,62742.730469,62536.851562,2239.762207,9473
DRRHA,450,40056.523438,39850.644531,21081.031250,920
MDRRHA,450,39675.980469,39470.105469,22267.228516,923
SJF,500,35062.363281,34855.585938,34855.585938,499
RR,500,69860.226562,69653.437500,2489.793945,10569
DRRHA,500,44433.246094,44226.468750,23708.687500,1013
MDRRHA,500,43857.070312,43650.292969,24797.849609,990
